Avgc,,Betweenness,,,Eigenvector,,,PageRank,
,,Seed,Influenced,,Seed,Influenced,,Seed,Influenced
"0.170948482498
",,90,5956,,100,5949,,95,5952
"0.16414657217
",,100,5349,,95,5313,,95,5329
"0.186143559767
",,95,5008,,95,4965,,100,4788
"0.183309388654
",,100,4789,,100,4640,,95,4685
"0.181061568969
",,85,4775,,90,4732,,100,4691
"0.167020488045
",,90,5616,,100,5604,,100,5573
"0.161306876292
",,100,5703,,100,5695,,95,5699
"0.194599271516
",,95,4352,,100,3864,,100,3976
"0.173892824314
",,95,4885,,100,4742,,95,4744
"0.20165930692
",,95,4162,,95,4058,,95,3937
"0.193040560288
",,90,4392,,95,4234,,95,3898
"0.204707275491
",,100,3784,,95,3568,,100,3483
"0.195273290556
",,100,3911,,100,3445,,100,3463
"0.179634880997
",,100,4674,,100,4613,,100,4634
"0.164446432296
",,100,4735,,90,4703,,95,4698
"0.173112585758
",,100,5532,,100,5479,,100,5483
"0.191715700215
",,100,5101,,95,5052,,95,5061
"0.187044644089
",,95,4578,,100,4520,,95,4528
"0.207606478892
",,90,3867,,100,3651,,100,3089
"0.205855668643
",,100,4013,,95,3897,,100,3932
"0.187916870794
",,95,4563,,100,4484,,100,4428
"0.191518810642
",,100,4545,,90,4370,,100,4434
"0.207888504344
",,95,4230,,95,4096,,100,4027
"0.166955258044
",,95,5185,,95,5169,,100,5180
"0.167826187957
",,90,5534,,100,5535,,95,5532
"0.176178169652
",,100,4193,,100,4110,,100,4138
"0.215917992619
",,95,4019,,100,3674,,90,3683
"0.185153881856
",,90,4943,,95,4893,,95,4768
"0.186574605633
",,95,4525,,95,4409,,100,4233
"0.172204962266
",,100,4905,,95,4780,,100,4777
"0.18337943278
",,95,5358,,95,5328,,100,5319
"0.194473056566
",,100,4071,,90,3921,,100,3890
"0.19767167349
",,100,4415,,100,4278,,100,4284
"0.163408713776
",,95,5112,,100,5018,,95,5012
"0.186178466815
",,100,5078,,95,4996,,100,5035
"0.177326211426
",,100,4988,,100,4931,,95,4949
"0.167868278571
",,100,5099,,95,4976,,100,5007
"0.156643017639
",,95,5581,,95,5571,,100,5572
"0.156794927186
",,100,5613,,100,5605,,100,5579
"0.170527376303
",,95,5609,,90,5535,,100,5591
"0.155827173443
",,85,5622,,100,5611,,95,5598
"0.159724960634
",,90,5444,,100,5416,,100,5380
"0.189052946751
",,100,5201,,100,5195,,90,5065
"0.15620201598
",,100,5358,,100,5335,,90,5324
"0.199689311332
",,100,4099,,95,3844,,100,3846
"0.219348093544
",,95,4197,,100,3836,,100,3971
"0.169778138666
",,95,5441,,95,5423,,100,5414
"0.167074823027
",,100,5446,,100,5408,,100,5336
"0.186419616495
",,100,4591,,100,4512,,100,4460
"0.205805085986
",,95,4192,,100,3653,,95,3839
"0.165411740615
",,95,5277,,100,5245,,100,5193
"0.199495827373
",,100,4172,,95,3834,,100,3838
"0.162543182892
",,95,5535,,85,5497,,100,5510
"0.166083729003
",,95,5618,,100,5603,,100,5609
"0.198689807316
",,100,4060,,100,3946,,95,3846
"0.189752561344
",,100,4592,,95,4485,,100,4440
"0.208936128653
",,100,4196,,100,3931,,95,3891
"0.178484028687
",,100,4824,,100,4595,,95,4753
"0.176423137581
",,95,5384,,100,5350,,100,5353
"0.169636812102
",,95,5424,,90,5413,,100,5411
"0.175907057946
",,95,5135,,100,5043,,100,5053
"0.159884064937
",,100,5626,,100,5611,,100,5605
"0.18538629378
",,95,4747,,95,4705,,90,4638
"0.196787239632
",,100,4338,,100,4217,,100,3929
"0.164657277074
",,95,5000,,95,4966,,90,4946
"0.195234587216
",,90,3667,,100,3547,,100,3046
"0.179358006858
",,100,5360,,100,5337,,100,5333
"0.203712914768
",,100,4048,,95,3956,,100,3914
"0.195507245566
",,100,3878,,100,3620,,95,3572
"0.182461568166
",,95,4223,,100,4151,,100,4084
"0.190160429189
",,85,4744,,100,4658,,85,4674
"0.178045171141
",,95,4932,,95,4830,,100,4828
"0.173444581572
",,95,5041,,95,4915,,100,4895
"0.172637624987
",,100,5190,,100,5141,,95,5144
"0.200218236806
",,95,4138,,95,4044,,95,4011
"0.173520938277
",,100,5383,,95,5359,,95,5379
"0.201372306119
",,95,3993,,95,3777,,100,3818
"0.1577257484
",,95,5475,,90,5426,,100,5405
"0.164075338617
",,85,5684,,90,5678,,100,5685
"0.191950100769
",,95,4842,,95,4746,,95,4707
"0.181603075595
",,100,5273,,90,5204,,100,5201
"0.209454544901
",,95,4047,,95,3628,,90,3831
"0.178602307757
",,100,6126,,95,6118,,100,6125
"0.180370273025
",,100,4694,,100,4625,,100,4652
"0.189189102932
",,95,4604,,100,4471,,95,4478
"0.166655024656
",,100,5655,,90,5601,,100,5606
"0.209320567438
",,100,4356,,95,4302,,100,4110
"0.166207706153
",,100,4930,,95,4790,,95,4850
"0.196657590765
",,95,4277,,95,4166,,100,4095
"0.184197084369
",,95,4601,,100,4519,,95,4278
"0.174869843928
",,100,5317,,100,5303,,100,5307
"0.177543065482
",,95,5503,,95,5486,,95,5465
"0.165502292822
",,100,5556,,95,5539,,100,5548
"0.164645740306
",,100,5271,,90,5196,,95,5251
"0.184669560772
",,100,5220,,90,5186,,100,5181
"0.207188787997
",,100,4013,,100,3585,,90,3798
"0.202513767531
",,100,4025,,100,3748,,85,3813
"0.181687949928
",,100,5111,,95,5091,,95,5071
"0.164823543333
",,100,5364,,100,5338,,100,5332
"0.202499245298
",,100,3891,,95,3439,,90,3503
